age,income,employment_type,housing_status,years_at_job,years_at_address,region,has_bank_account,loan_purpose,loan_amount,secured,dti,num_inquiries_6m,num_delinquencies_24m,num_collections,card_utilization,default_12m,lgd
37,43428.81,private,rent,8.99,4.17,suburban,1,debt_consolidation,9219.49,1,0.4322,1,1,0,0.5894,0,
18,42274.23,self_employed,rent,4.8,2.31,metro,1,education,25389.92,0,0.8756,4,2,1,0.6566,1,0.0
55,32469.64,self_employed,own,9.41,5.2,metro,1,other,12540.22,0,0.7043,4,1,0,0.5742,0,
61,23482.09,public_sector,own,7.72,8.82,metro,1,home_improvement,20649.49,0,0.95,1,0,0,0.8051,0,
40,67271.63,public_sector,mortgage,9.97,3.82,suburban,1,debt_consolidation,39942.1,0,0.8028,1,0,0,0.5661,0,
18,34893.03,private,rent,8.58,2.04,suburban,1,home_improvement,12151.04,0,0.7658,0,0,0,0.4682,0,
42,23980.49,private,own,6.67,5.89,rural,1,debt_consolidation,24172.37,1,0.95,1,2,1,0.7738,1,1.0
37,17090.07,private,rent,4.68,6.99,metro,1,debt_consolidation,13904.06,1,0.95,4,0,0,0.6385,0,
70,27376.89,retired,mortgage,3.21,13.32,metro,0,small_business,3686.22,0,0.4977,1,0,0,0.4659,0,
52,8251.33,private,own,6.77,3.67,metro,1,debt_consolidation,5053.32,0,0.8232,2,0,0,0.6052,0,
34,55695.81,private,rent,7.63,2.93,metro,1,other,16451.88,0,0.7475,4,0,0,0.5617,0,
36,30175.77,self_employed,own,0.66,5.02,suburban,0,other,5974.52,0,0.5647,4,0,0,0.4919,0,
23,20241.87,private,rent,11.82,9.01,suburban,1,debt_consolidation,7242.85,0,0.7481,1,1,0,0.6904,0,
38,55399.56,private,rent,8.75,6.26,suburban,1,car,7508.1,0,0.4933,4,1,0,0.574,0,
40,38171.61,private,rent,2.67,2.97,suburban,0,small_business,11432.22,0,0.7139,4,0,0,0.6403,0,
35,16412.77,student,rent,2.84,1.96,metro,1,education,5738.6,0,0.699,1,0,0,,0,
48,31679.49,retired,rent,2.12,5.55,suburban,1,home_improvement,10407.46,0,0.6851,1,1,0,0.5837,0,
43,16481.19,private,rent,3.23,6.27,rural,1,home_improvement,7484.04,0,0.7926,1,0,0,0.7232,0,
31,95205.92,public_sector,rent,10.84,2.47,suburban,1,other,15853.06,1,0.5206,3,0,0,0.6436,0,
53,18488.11,unemployed,rent,3.81,3.71,metro,1,debt_consolidation,5761.37,0,0.794,4,0,0,0.6601,0,
46,82249.82,self_employed,own,1.66,4.4,metro,1,debt_consolidation,29239.4,0,0.7211,2,1,0,0.7001,0,
54,49007.42,private,own,5.53,4.14,rural,1,home_improvement,24439.34,0,0.8009,0,1,1,0.4999,0,
61,24267.27,retired,own,3.63,6.37,suburban,1,debt_consolidation,4469.51,0,0.5894,3,0,0,0.6305,0,
25,44107.2,private,mortgage,7.72,6.79,metro,1,education,23273.72,0,0.7668,1,0,0,0.6904,0,
57,35109.64,private,rent,15.8,4.37,rural,1,home_improvement,6349.62,0,0.5226,4,0,0,0.6941,0,
28,70515.85,private,rent,8.0,5.99,suburban,1,debt_consolidation,13847.46,0,0.5431,1,0,0,0.5908,0,
53,34653.1,private,rent,7.57,2.35,metro,1,debt_consolidation,17324.76,1,0.8707,3,2,0,0.6545,1,0.5637603120000421
45,47239.98,private,own,5.31,12.07,metro,0,debt_consolidation,27491.95,0,0.8532,2,0,1,0.4361,1,0.9810584075085015
37,19219.5,private,own,4.06,8.71,suburban,1,car,7552.04,0,0.7052,1,3,0,0.5257,0,
39,15134.65,retired,mortgage,2.82,5.66,suburban,1,car,9237.73,0,0.868,0,1,1,0.5051,0,
